date,activity_type,duration_min,avg_hr,avg_hrv,mets,exertion_rpe,note
2026-07-14,Strength (Day A) + hill warm-up,62,118,not captured,313,,"Reported as: strength 224 METs (118 avg HR, ~45 min), hill warm-up 89 METs (15 min), total exercise time 62 min. A separately-mentioned outdoor-walk pace (\2:14.7 min/mile\"") was flagged as implausible and never confirmed. HRV not reported for this session - tracking started 2026-07-15."""
2026-07-15,Long Hike,90,120,not captured,372,,"3.67 miles, avg pace 22:20/mile. HRV not reported."
2026-07-17,Strength (Day B),53,123,not captured,345,,"Reported via Welltory: 53 min, avg HR 123, 345 MET-minutes. Per-set detail (23 sets across 8 exercises) logged separately in data/strength-training-log.csv using the Strength Training Log tool."
2026-07-18,Walk,99,105,not captured,219,,"4.6 miles, avg pace 21:36/mile. HRV not reported."
2026-07-20,Walk,50,124,not captured,332,,"3.0 miles, avg pace 16:50/mile. HRV not reported."
2026-07-21,Strength (Day A),53,131,not captured,356,,"Reported via Welltory: 53 min, avg HR 131, 356 MET-minutes. Per-set detail (27 sets across 9 exercises) logged separately in data/strength-training-log.csv using the Strength Training Log tool."
2026-07-22,Hike,69,128,42,387,,"3.6 miles, reported avg pace 19:38/mile. Note: 69 min over 3.6 mi computes to 19:10/mile - the 19:38 figure is likely moving-pace vs. elapsed time, logged as reported."
2026-07-23,Walk,53,121,not captured,221,,"3.33 miles, reported avg pace 21:45/mile. HRV not reported. NOTE: pace doesn't reconcile - 53 min over 3.33 mi computes to 15:55/mile (in line with the 7/20 walk at 16:50). Either the pace or the distance is off; logged the reported figures as given."
2026-07-24,Hike,150,127,not captured,924,,"5.2 miles, reported avg pace 29:32/mile (computes to 28:51; minor moving-vs-elapsed gap). HRV not reported. Biggest single session logged to date - 924 MET-min over 2.5 hrs."
2026-07-25,Walk,78,97,not captured,58,,"3.1 miles, computes to 25:10/mile - easy/recovery pace, consistent with the low avg HR of 97. HRV not reported. NOTE: 58 MET-min is well below other walks (7/18 walk was 219, 7/20 was 332); low HR fits an easy effort but the MET figure looks lower than expected - logged as reported."
2026-07-25,Walk (2nd of day),74,108,not captured,72,,"3.54 miles, reported avg pace 21:04/mile (computes to 20:54 - reconciles). HRV not reported. Second walk of the day, in addition to the morning 3.1-mile recovery walk. Combined 7/25: 6.64 mi across 152 min. MET figure (72) again looks low for the duration, same pattern as the morning walk."
2026-07-26,Hike,106,122,not captured,319,,"3.8 miles, computes to 27:53/mile. HRV not reported. Sunday hike."
2026-07-26,Walk (2nd of day),28,103,not captured,18,,"1.3 miles, computes to 21:32/mile. HRV not reported. Short recovery walk; low MET-min (18) is expected for an easy recovery effort, not a data problem."
2026-07-27,Walk,60,104,not captured,85,,"3.1 miles, reported avg pace 19:17/mile (computes to 19:21 - reconciles). HRV not reported."
2026-07-28,Hill Warm-up,15,125,not captured,62,,"0.67 miles, reported avg pace 22:06/mile (computes to ~14.8 min for the distance - duration rounded to 15). HRV not reported."
2026-07-28,Strength (Day A),62,111,not captured,201,,"Reported via Welltory: 62 min, avg HR 111, 201 MET-minutes - lower HR/METs than the two prior Day A/B sessions (123-131 avg HR, 345-356 MET-min), consistent with more experimental/lower-intensity work between sets today. Per-set detail (27 sets across 9 exercises) logged separately in data/strength-training-log.csv."
2026-07-30,Hill Warm-up,17,111,not captured,74,,"0.7 miles, reported avg pace 25:50/mile."
2026-07-30,Strength (Day B),49,119,not captured,225,,"Reported via Welltory: 49 min, avg HR 119, 225 MET-minutes. Per-set detail (24 sets across 8 exercises) logged separately in data/strength-training-log.csv."
2026-08-01,Walk,110,113,not captured,325,,"5.4 miles, computes to 20:22/mile. HRV not reported. Longer than the calendar's planned 4-5 mile/90-min block."
2026-08-03,Walk/Run Intervals (VO2 max),51,126,not captured,282,,"3.3 miles, computes to 15:27/mile. First VO2-focused session, upgraded from a regular walk on purpose: 10 min warmup/cooldown bookending 3-minute walk/run segments. VO2 max 26.2 (goal 30) also logged this session, first tracked reading — see personal/health-goals.md."
2026-08-04,Hill Warm-up,14,135,not captured,89,,"0.67 miles, reported avg pace 21:46/mile."
2026-08-04,Strength (Day A),53,112,not captured,196,,"Reported via Welltory: 53 min, avg HR 112, 196 MET-minutes. Per-set detail (27 sets across 9 exercises) logged separately in data/strength-training-log.csv."
2026-08-05,Long Hike,78,117,not captured,327,,"3.9 miles, reported avg pace 20:12/mile (computes to 20:00/mile - reconciles closely). HRV not reported."
2026-08-06,Hill Warm-up,15,127,not captured,69,,"0.68 miles, reported duration '15:22' and 'a 10:00 pace' - the pace doesn't reconcile with distance/duration (computes to ~22:36/mile); logged both as reported. MET figure interpreted from 'a 69 m/s' as 69 MET-minutes, matching this exercise's established range (62-89 across prior sessions) - 69 m/s would be ~154 mph, not physically plausible for a walk, so read as a mis-transcription of MET-minutes. HRV not reported."
2026-08-06,Strength (Day B),58,116,not captured,221,,"Reported as '58 min, 2:21, and 116 heart rate' - interpreted '2:21' as 221 MET-minutes (matches this session type's established range of 196-356 across prior Day A/B sessions). Per-set detail (24 sets across 8 exercises; Dumbbell Lateral Raise not reported, follow up) logged separately in data/strength-training-log.csv."
2026-08-08,Walk,68,104,not captured,55,,"3.7 miles, reported avg pace 18:36/mile (computes to ~18:22/mile - reconciles closely). HRV not reported."
2026-08-09,Walk,56,116,not captured,228,,"3.1 miles, reported avg pace 18:32/mile (computes to ~18:04/mile - reconciles closely). HRV not reported."
2026-08-10,Run,52,129,not captured,336,,"3.25 miles, pace not reported (computes to 16:00/mile). HRV not reported."
2026-08-11,Hill Warm-up,16,115,not captured,71,,HR of 115 recorded at the 0.5 mi mark (not necessarily total distance). HRV not reported.
2026-08-11,Strength (Day A),59,117,not captured,284,,"Per-set detail (27 sets across 9 exercises) logged separately in data/strength-training-log.csv. Several exercises extended past prior rep ceilings at the 25 lb weight cap (squat, RDL both 12->15 reps); Glute Bridge jumped straight to 25 lb (past the recommended 20 lb step)."
2026-08-12,Long Hike,74,116,not captured,376,,"3.7 miles, avg pace 20:00/mile (computes correctly from distance/duration; initial 10:06/mile report corrected). HRV not reported."
2026-08-13,Hill Warm-up,14,138,not captured,not reported,,"0.7 miles, avg pace 20:38/mile."
2026-08-13,Strength (Day B),63,119,not captured,349,,"Reported: 63 min, avg HR 119, 349 MET-minutes. Per-set detail (27 sets across 9 exercises) logged separately in data/strength-training-log.csv. Two corrections made 2026-08-20: a duplicate 'Dumbbell Pushups' entry (3 sets, initially logged separately from Overhead Press) was removed — Jackie confirmed it was a dictation mistake for Overhead Press, which already had its own correct entry that day. Band Face Pull (purple band, 15 reps) and Dumbbell Lateral Raise (5 lb, 15 reps — its first-ever logged session since being added to the plan 2026-07-30) were both filled in with numbers Jackie provided after the fact."
2026-08-14,Walk,33,106,not captured,30,,"1.5 miles, avg pace 22:00/mile (computes correctly from distance/duration). HRV not reported. Short/easy effort, consistent with the low MET-minute figure."
2026-08-15,Walk,61,120,not captured,364,,"3.31 miles, avg pace 18:29/mile (computes to ~18:26/mile from distance/duration, consistent). HRV not reported."
2026-08-16,Hike,93,114,not captured,247,,"4.4 miles, reported avg pace 21:19/mile (computes to ~21:08/mile from distance/duration, consistent). HRV not reported."
2026-08-17,Walk/Run,50,133,not captured,366,,"3.28 miles, computes to ~15:15/mile avg pace from distance/duration. HRV not reported."
2026-08-18,Hill Warm-up,16,129.7,not captured,82,,"Reported: 16 min, avg HR 129.7, pace 23:03/mile, 82 MET-minutes. Distance not given."
2026-08-18,Strength (Day A),58,116,not captured,245,,"Reported: 58 min, avg HR 116, 245 MET-minutes. Per-set detail (27 sets across 9 exercises) logged separately in data/strength-training-log.csv. Day A's weighted Single-Leg Balance Reach, shoulder-tap Plank, banded/weighted Glute Bridge, and purple-band Face Pull were all already part of the plan - workout-plan.md updated 2026-08-19 to reflect this, a documentation gap rather than a change."
2026-08-19,Walk,53,116,not captured,147,,"2.57 miles, reported avg pace 18:39/mile. NOTE: pace doesn't reconcile - 53 min over 2.57 mi computes to ~20:37/mile, closer to 2 min/mile slower than reported; logged the reported figures as given."
2026-08-20,Hill Warm-up,16,96,not captured,14,,"0.7 miles, avg pace 22:27/mile (computes to ~15.7 min for 0.7 mi at that pace — reconciles closely with the 16 min duration). MET figure (14) is notably lower than this exercise's established range (62-89 across prior sessions) — Jackie confirmed after double-checking that 14 is correct, logged as reported despite the discrepancy from pattern."
2026-08-20,Strength (Day B),65,112,not captured,244,,"Reported: 65 min, avg HR 112, 244 MET-minutes. Per-set detail (27 sets across 9 exercises) logged separately in data/strength-training-log.csv. Band Bent-Over Row's rep count, initially missing, was reported as 50 and confirmed with Jackie as a dictation mix-up for 15."
2026-08-21,Walk,96,107,not captured,236,,"5.1 miles, reported avg pace 19:02/mile (computes to ~18:49/mile, close enough to reconcile)."
2026-08-21,Hill Warm-up,15,110,not captured,53,,0.8 miles.
2026-08-21,Strength (Day C),42,109,not captured,141,,Per-set detail (27 sets across 9 exercises) logged separately in data/strength-training-log.csv.
2026-08-24,Mixed Cardio,49,143,not captured,418,,"3.36 miles, avg pace ~14:35/mile."
2026-08-25,Hill Warm-up,14.92,121,not captured,59,,"0.7 miles, 14:55, reported pace 21:54/mile (computes to ~21:19/mile from distance/duration — close enough to reconcile). MET figure (59) is a bit below this exercise's established range (62-89) but not a meaningful outlier."
2026-08-25,Strength (Day A),63,111,not captured,202,,"Reported: 63 min, avg HR 111, 202 MET-minutes. Per-set detail (27 sets across 9 exercises) logged separately in data/strength-training-log.csv. Jackie raised the rep soft ceiling from 15 to 20 mid-session — Squat, RDL, and Glute Bridge all hit 20 reps at the 25 lb max; Plank switched to the standard (non-shoulder-tap) variation this session, her own call."
2026-08-26,Hike,79,117,not captured,282,,"3.75 miles, avg pace 21:11/mile."
2026-08-27,Hill Warm-up,30,108,not captured,82,,"1.33 miles, reported avg pace 22:14/mile (computes to ~22:33/mile from distance/duration, close enough to reconcile)."
2026-08-27,Strength (Day B),64,113,not captured,241,,"Reported: 64 min, avg HR 113, 241 MET-minutes. Per-set detail (26 sets across 9 exercises) logged separately in data/strength-training-log.csv. First live session for the swapped Single-Arm Overhead Press; Band Face Pull moved up a band level (purple to green) per the standing recommendation. One near-duplicate line in the reported data for Band Bent-Over Row ('Bentova Rose Purple Band') confirmed with Jackie as a dictation repeat, not a second exercise."
